ID Number,Name,League,Team,Season,Birth Year,Position,Draft Year,Draft Position,NHL Team,Games Played,Goals,Assists,Points,PIMs,Points per Game,PIMS per Game,Shooting Percentage
002-00,Shakir Mukhamadullin,MHL,Tolpar Ufa,2018-19,2002,LHD,2020,20,NJD,5,1,2,3,2,0.6,0.4,14.3
002-01,Shakir Mukhamadullin,VHL,Toros Neftekamsk,2019-20,2002,LHD,2020,20,NJD,1,0,0,0,0,0,0,0
002-02,Shakir Mukhamadullin,MHL,Tolpar Ufa,2019-20,2002,LHD,2020,20,NJD,13,2,7,9,6,0.6923076923,0.4615384615,8
002-03,Shakir Mukhamadullin,KHL,Salavat Ulaev Ufa,2019-20,2002,LHD,2020,20,NJD,27,0,1,1,0,0.03703703704,0,0
002-04,Shakir Mukhamadullin,KHL,Salavat Ulaev Ufa,2020-21,2002,LHD,2020,20,NJD,39,3,7,10,10,0.2564102564,0.2564102564,8.1
002-05,Shakir Mukhamadullin,KHL,Salavat Ulaev Ufa,2021-22,2002,LHD,2020,20,NJD,34,3,4,7,12,0.2058823529,0.3529411765,5.8
002-06,Shakir Mukhamadullin,AHL,San Jose Barracuda,2022-23,2002,LHD,2020,20,NJD,12,1,9,10,6,0.8333333333,0.5,7.7
002-07,Shakir Mukhamadullin,KHL,Salavat Ulaev Ufa,2022-23,2002,LHD,2020,20,NJD,67,6,19,25,35,0.3731343284,0.5223880597,4.4
003-00,Marat Khusnutdinov,MHL,SKA 1946 Saint Petersburg,2019-20,2002,C,2020,37,MIN,44,13,25,38,16,0.8636363636,0.3636363636,16
003-01,Marat Khusnutdinov,MHL,SKA 1946 Saint Petersburg,2020-21,2002,C,2020,37,MIN,10,3,11,14,6,1.4,0.6,11.5
003-02,Marat Khusnutdinov,VHL,SKA Neva Saint Petersburg,2020-21,2002,C,2020,37,MIN,4,1,0,1,2,0.25,0.5,10
003-03,Marat Khusnutdinov,KHL,SKA Saint Petersburg,2020-21,2002,C,2020,37,MIN,12,0,2,2,2,0.1666666667,0.1666666667,0
003-04,Marat Khusnutdinov,KHL,SKA Saint Petersburg,2021-22,2002,C,2020,37,MIN,32,5,7,12,8,0.375,0.25,11.9
003-05,Marat Khusnutdinov,KHL,SKA Saint Petersburg,2022-23,2002,C,2020,37,MIN,63,11,30,41,18,0.6507936508,0.2857142857,13.8
004-00,Fyodor Svechkov,MHL,Lada Togliatti,2019-20,2003,C,2021,19,NSH,24,4,2,6,6,0.25,0.25,12.5
004-01,Fyodor Svechkov,VHL,Lada Togliatti,2020-21,2003,C,2021,19,NSH,38,5,10,15,6,0.3947368421,0.1578947368,11.6
004-02,Fyodor Svechkov,MHL,Lada Togliatti,2020-21,2003,C,2021,19,NSH,15,4,11,15,35,1,2.333333333,7.7
004-03,Fyodor Svechkov,KHL,SKA Saint Petersburg,2021-22,2003,C,2021,19,NSH,4,0,0,0,0,0,0,0
004-04,Fyodor Svechkov,MHL,SKA 1946 Saint Petersburg,2021-22,2003,C,2021,19,NSH,4,0,8,8,0,2,0,0
004-05,Fyodor Svechkov,VHL,SKA Neva Saint Petersburg,2021-22,2003,C,2021,19,NSH,30,9,22,31,12,1.033333333,0.4,13.4
004-06,Fyodor Svechkov,KHL,Spartak Moscow,2022-23,2003,C,2021,19,NSH,27,2,2,4,5,0.1481481481,0.1851851852,5.4
